faiss_idx,scene,ts_ns,frame_idx,tx,ty,tz,qw,qx,qy,qz
175,seq01,11752410014000,69,-1.589507,-0.437381,-0.064412,0.523500235,0.539807599,0.637918161,-0.166179661
176,seq01,11753410009925,70,-1.597923,-0.201406,0.010613,0.606194729,0.413961438,0.65631608,-0.174393469
177,seq01,11754410011800,71,-1.545373,-0.150573,-0.016214,0.557096404,0.428809268,0.68411059,-0.194316518
178,seq01,11755410011837,72,-1.543788,-0.182441,-0.041237,0.517044252,0.468517486,0.692327709,-0.183953663
179,seq01,11756410018587,73,-1.553731,-0.18654,-0.043149,0.510055423,0.467809216,0.694228745,-0.197596689
180,seq01,11757410013625,74,-1.540147,-0.201877,-0.052203,0.506312043,0.464368206,0.709127872,-0.15858104
181,seq01,11758410011212,75,-1.549298,-0.185904,-0.039718,0.53996192,0.460578749,0.686105402,-0.159899089
182,seq01,11759410017750,76,-1.455615,-0.316089,-0.075866,0.492292429,0.495159841,0.707172002,-0.11123244
183,seq01,11760410011962,77,-0.789775,-0.829232,-0.054805,0.62526114,0.407007437,0.652967354,-0.130487885
184,seq01,11761410023175,78,-0.009399,-1.210868,-0.108777,0.49884401,0.524719961,0.675217656,-0.141084138
185,seq01,11762410019875,79,0.434308,-1.882448,-0.184123,0.370052829,0.754799801,0.46942057,-0.270152721
186,seq01,11763410013212,80,0.574026,-2.235399,-0.047975,0.290822374,0.751480551,0.289097946,-0.516838182
187,seq01,11764410020462,81,0.565839,-2.390745,-0.077795,0.229425853,0.85988782,0.114783897,-0.441340426
188,seq01,11765410019050,82,0.585759,-2.383554,-0.06082,0.175531634,0.83464031,0.099388642,-0.512529118
189,seq01,11766410018462,83,0.615406,-2.375357,-0.022673,0.152197108,0.776093926,0.110366952,-0.601941355
190,seq01,11767410018500,84,0.600541,-2.361406,-0.034182,0.164711079,0.797294938,0.095075822,-0.572845206
191,seq01,11768410016250,85,0.520993,-2.420305,-0.037837,-0.002094009,0.79757167,-0.119468066,-0.591271873
192,seq01,11769410017587,86,0.516419,-2.585509,-0.021189,0.115023164,0.782602298,-0.001859046,-0.611800506
193,seq01,11770410018462,87,0.522946,-2.561156,-0.017997,-0.057633349,0.783270697,-0.137396063,-0.603562535
194,seq01,11771410010625,88,0.514431,-2.681638,-0.008492,0.176087975,0.753842245,0.155049775,-0.613738106
195,seq01,11772410018425,89,0.516945,-2.622722,-0.011777,0.028762751,0.777160501,-0.013212992,-0.628505908
196,seq01,11773410015625,90,0.532409,-2.536232,-0.020456,-0.098711291,0.767511012,-0.200901914,-0.600684067
197,seq01,11774410019500,91,0.541782,-2.488291,-0.043678,-0.028646383,0.795022495,-0.266633657,-0.544081897
198,seq01,11775410021375,92,0.836956,-2.149768,-0.019461,-0.194345084,0.740426822,-0.258716013,-0.589121494
199,seq01,11776410011500,93,0.871619,-2.56123,-0.019172,0.221370143,0.766494277,0.219318469,-0.561588098
200,seq01,11777410013212,94,0.965695,-2.759195,-0.003152,0.186621579,0.745718827,0.193273928,-0.60968927
201,seq01,11778410011550,95,0.943503,-2.726873,-0.007938,0.164172576,0.762396302,0.174368316,-0.601161322
202,seq01,11779410011625,96,0.72373,-2.212804,-0.108968,0.289245108,0.822091485,0.24400137,-0.42540121
203,seq01,11780410014800,97,0.11224,-1.512559,-0.099631,0.369908169,0.735776224,0.21230237,-0.526050377
204,seq01,11781410011625,98,-0.604816,-1.215577,-0.049977,0.396053065,0.691560655,0.376083935,-0.472701495
205,seq01,11782410012000,99,-0.538544,-0.797524,-0.050752,0.510652966,0.622958512,0.45392641,-0.3809292
206,seq02,232388373025,0,0.001017,-0.006616,-0.000382,0.537074681,0.536734003,0.522457929,-0.38794988
207,seq02,233388372112,1,0.004333,-0.016187,-0.003675,0.527385505,0.531655969,0.525445718,-0.403872823
208,seq02,234388377987,2,-0.006552,-0.037352,-0.031903,0.499633114,0.573047794,0.490561869,-0.425830987
209,seq02,235388369987,3,-0.237102,0.298632,-0.040249,0.463105044,0.634705421,0.429823625,-0.444898188
210,seq02,236388377200,4,-0.666765,0.44319,-0.050533,0.422291327,0.662003528,0.39755648,-0.474731723
211,seq02,237388369775,5,-1.061444,0.75383,-0.046048,0.522493531,0.585451257,0.506307385,-0.35763133
212,seq02,238388378987,6,-1.485873,0.762314,-0.04454,0.537403724,0.538980743,0.539077268,-0.360683649
213,seq02,239388376900,7,-1.922458,0.829318,-0.022068,0.657523987,0.309765887,0.656696182,-0.201140314
214,seq02,240388375575,8,-2.242964,0.573023,-0.031531,0.646335762,0.348945052,0.638877617,-0.228741828
215,seq02,241388376775,9,-2.639688,0.436618,-0.013348,0.703384007,0.206978451,0.66864369,-0.123800142
216,seq02,242388376612,10,-2.851641,0.118527,-0.032459,0.651590267,0.248240921,0.695991931,-0.171469533
217,seq02,243388376862,11,-3.087302,-0.137357,-0.020492,0.698228733,0.073276433,0.712048562,-0.009697773
218,seq02,244388376237,12,-3.291863,-0.374068,-0.037186,0.656704382,0.090743835,0.747987733,-0.031925884
219,seq02,245388376900,13,-3.254886,-0.628172,-0.033055,0.641956282,0.124612528,0.755794494,-0.033742136
220,seq02,246388378112,14,-3.423944,-0.859225,-0.048715,0.598180282,0.034665459,0.79290254,0.110834192
221,seq02,247388369450,15,-3.424518,-0.62111,-0.04699,0.621581987,0.038283904,0.774189521,0.113140452
222,seq02,248388378987,16,-3.247421,-0.332561,-0.071684,0.602837743,0.005874307,0.787060377,0.130721506
223,seq02,249388379825,17,-2.975785,-0.055086,-0.047982,0.643339697,0.012891921,0.751213316,0.147059128
224,seq02,250388374612,18,-2.738301,0.173389,-0.038244,0.633937248,0.240170599,0.731230666,-0.075784972
225,seq02,251388375900,19,-2.385623,0.209739,-0.02983,0.631979112,0.032375737,0.757474639,0.160581393
226,seq02,252388373237,20,-2.154288,0.40344,-0.057755,0.601211635,0.324687259,0.729125607,-0.038711787
227,seq02,253388377400,21,-1.784672,0.561958,-0.075433,0.604491203,0.184970237,0.770307991,0.08367793
228,seq02,254388377525,22,-1.556052,0.661683,-0.0333,0.650803634,0.32551894,0.66833972,-0.154318072
229,seq02,255388375862,23,-1.306391,0.747904,-0.057789,0.537600658,0.494076072,0.608405688,-0.310993387
230,seq02,256388377775,24,-0.95331,0.652157,-0.080926,0.563678129,0.353421243,0.741655488,-0.085484085
231,seq02,257388371950,25,-0.618874,0.556194,-0.032306,0.629529939,0.498612201,0.567811367,-0.180743409
232,seq02,258388374450,26,-0.537005,0.564734,-0.041323,0.60358777,0.543139266,0.521733215,-0.261679181
233,seq02,259388375362,27,-0.592887,0.587273,-0.056235,0.499102365,0.664107017,0.420114093,-0.365188784
234,seq02,260388377987,28,-0.714388,0.640062,-0.051053,0.505960618,0.641489548,0.431007905,-0.383049865
235,seq02,261388378362,29,-0.896891,0.758167,-0.033235,0.610827569,0.540098076,0.456883779,-0.355585379
236,seq02,262388373737,30,-0.83839,0.781999,-0.031188,0.653324238,0.419413976,0.584683786,-0.235381025
